_key,cik_str,ticker,title
345,1858681,APO,"Apollo Global Management, Inc."
346,1585521,ZM,"Zoom Video Communications, Inc."
347,1618921,WBA,"Walgreens Boots Alliance, Inc."
348,312069,BCS,BARCLAYS PLC
349,1437107,WBD,"Warner Bros. Discovery, Inc."
350,899051,ALL,ALLSTATE CORP
351,874716,IDXX,IDEXX LABORATORIES INC /DE
352,1116578,PUK,PRUDENTIAL PLC
353,1834584,CPNG,"Coupang, Inc."
354,1041061,YUM,YUM BRANDS INC
355,56873,KR,KROGER CO
356,1781335,OTIS,Otis Worldwide Corp
357,1874178,RIVN,"Rivian Automotive, Inc. / DE"
358,1705696,VICI,VICI PROPERTIES INC.
359,1475260,CVE,CENOVUS ENERGY INC.
360,1278680,IAU,ISHARES GOLD TRUST
361,1060736,SGEN,Seagen Inc.
362,1418091,TWTR,"TWITTER, INC."
363,783325,WEC,"WEC ENERGY GROUP, INC."
364,788784,PEG,PUBLIC SERVICE ENTERPRISE GROUP INC
365,51253,IFF,INTERNATIONAL FLAVORS & FRAGRANCES INC
366,844150,NWG,NatWest Group plc
367,1791706,LI,Li Auto Inc.
368,4447,HES,HESS CORP
369,1376891,EXPGY,Experian Group LTD
370,1709048,GFS,GLOBALFOUNDRIES Inc.
371,75362,PCAR,PACCAR INC
372,1132924,CHT,CHUNGHWA TELECOM CO LTD
373,875045,BIIB,BIOGEN INC.
374,36270,MTB,M&T BANK CORP
375,72741,ES,EVERSOURCE ENERGY
376,1811210,LCID,"Lucid Group, Inc."
377,1442145,VRSK,"Verisk Analytics, Inc."
378,1001807,TLK,PERUSAHAAN PERSEROAN PERSERO PT TELEKOMUNIKASI INDONESIA TBK
379,1552000,MPLX,MPLX LP
380,26172,CMI,CUMMINS INC
381,815556,FAST,FASTENAL CO
382,1498632,DNBBY,DnB NOR ASA
383,868675,TU,TELUS CORP
384,900075,CPRT,COPART INC
385,79879,PPG,PPG INDUSTRIES INC
386,1601046,KEYS,"Keysight Technologies, Inc."
387,24741,GLW,CORNING INC /NY
388,842180,BBVA,"BANCO BILBAO VIZCAYA ARGENTARIA, S.A."
389,895564,BAESY,BAE SYSTEMS PLC /FI/
390,1037646,MTD,METTLER TOLEDO INTERNATIONAL INC/
391,1393612,DFS,Discover Financial Services
392,1123799,WIT,WIPRO LTD
393,10456,BAX,BAXTER INTERNATIONAL INC
394,1335730,MFG,MIZUHO FINANCIAL GROUP INC
395,1120193,NDAQ,"NASDAQ, INC."
396,745732,ROST,"ROSS STORES, INC."
397,1666700,DD,"DuPont de Nemours, Inc."
398,906107,EQR,EQUITY RESIDENTIAL
399,849395,CRH,CRH PUBLIC LTD CO
400,49938,IMO,IMPERIAL OIL LTD
401,924613,NOK,NOKIA CORP
402,820027,AMP,AMERIPRISE FINANCIAL INC
403,1140859,ABC,AMERISOURCEBERGEN CORP
404,1132979,FRC,FIRST REPUBLIC BANK
